num	请观看视频并简单描述这段视频里的所有声音	你听见了什么声音	你会怎么描述这些声音	这些声音是什么物体/人发出的	这是在什么场景发出的声音	duration	filename	samplerate
1	房间内一个人在对另一个人诉说事情，然后有人声，伴整理票据的纸张声	人声，纸张摩擦声。	说话的声音，纸张摩擦声。	说话人，纸张。	房间内一个人与另一个人对话。	10.005963718820862	hospital_3707/1.wav	44100
1	有人在办公室里说话声，翻纸张声，后期制作声	人声，纸张声，后期制作声	说话声，后期制作声，翻纸声	人声由说话的人发出，翻纸声由说话的人发出，后期制作声由电脑发出	两个人在办公室交流	10.005963718820862	hospital_3707/1.wav	44100
1	男女在交谈，有说话声，脚步声和翻书声	人声，翻书声，脚步声	讲述声，人走动的声音，翻书摩擦的声音	讲述人，走路的人和翻书人	隔开的小房间里面男女会话	10.005963718820862	hospital_3707/1.wav	44100
2	诊室内一人向医生讲述病情，有人声，伴有拉帘的声音与后期操作声	人的对话声，拉帘声，与后期操作声。	对话声，拉动帘子声，后期操作声。	医生，帘子，电脑。	两个人在医院诊室内谈病情。	10.005963718820862	hospital_3707/2.wav	44100
2	病房内医生和病人的对话声，拉帘子的声音，背景音乐声	人声，拉帘子声，背景音乐声	医生和病人对话声，医生拉帘子声，背景音乐声	对话声由医生和病人发出，帘子，电脑	医生和病人在病房内交流	10.005963718820862	hospital_3707/2.wav	44100
2	在病房里，有病床上的人哭泣声，和医生的对话声，以及医生的声音	 病人的哭泣声，病人与医生的对话声	 哭泣声，对话声	病床上的病人，病人与医生的对话声	在病房里，医生探查病人过程中	10.005963718820862	hospital_3707/2.wav	44100
3	房间内一人对一群人阐述事件，然后有人声以及人深呼吸声	人的对话声及深呼吸声。	对话声，以及深呼吸声。	人声由阐述者和倾听者发出，深呼吸声由倾听者发出。	房间内有一个人向一群人讲述事件。	10.005963718820862	hospital_3707/3.wav	44100
3	病房内医生和病人的对话声	人声	病人在描述病情的声音，医生复述的声音	对话声由医生和病人发出	病人在病房内描述病情	10.005963718820862	hospital_3707/3.wav	44100
3	一群人在讨论问题，有走动声，呼吸声，说话声	人声，呼吸声，走动声	当事人讲述声，听众呼吸说话声，医院走动声	当事人，医生，医院工作者和病患	一群人讨论问题	10.005963718820862	hospital_3707/3.wav	44100
4	室外两名医生在争执，然后有人声伴有嘈杂的路人说话声以及车辆路过的声音	人的对话声，车声。	对话声，路人说话的嘈杂声，车声。	对话声由两名医生发出，嘈杂的说话声由室外的路人发出，车辆的声音由汽车发出。	两名医生在室外发生争执。	10.005963718820862	hospital_3707/4.wav	44100
4	两个医生的对话声	人声	两个医生在为谁做手术争执	对话声由两个医生发出	两个医生在路边争执适不适合做手术	10.005963718820862	hospital_3707/4.wav	44100
4	两个人对话，医院门口吵杂的声音	说话声，开车声，视频设备声	医生说话声，视频后期声，汽车发动声	医生，汽车和电脑	医院门口两个医生对话	10.005963718820862	hospital_3707/4.wav	44100
